,index,song,artist,id,MISSING,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
151,1405,G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,0R2yQJOFsKqS0SsgPdWqtP,MISSING,0.673,0.84,0,-4.81,1,0.0535,0.0214,0.00259,0.321,0.398,123.077,218880,4
152,1414,Boyfriend,Ashlee Simpson,1f0XxoeFQWM4mR4NxHu6DE,MISSING,0.705,0.753,1,-3.114,0,0.0384,0.0321,6.69e-06,0.0655,0.906,128.047,179427,4
153,1416,L.O.V.E.,Ashlee Simpson,7H2TYuu6OmqkxQD3LIZRC7,MISSING,0.588,0.828,5,-3.309,0,0.0538,0.00298,0.00203,0.644,0.938,191.874,153053,4
154,1422,Let U Go,Ashley Parker Angel,5n3HwrDGRlUT7SrJCWM4yf,MISSING,0.314,0.95,0,-3.512,1,0.0873,2.09e-05,0,0.0986,0.233,172.19,218747,4
155,1423,Soundtrack To Your Life,Ashley Parker Angel,4lhLpojd8Qiw0lKfF307ho,MISSING,0.577,0.798,11,-4.484,1,0.0407,0.0846,0,0.189,0.619,91.071,193267,4
156,1430,Resurrection Shuffle,"Ashton, Gardner & Dyke",393WZ3Qnwcib5ehS18OBH3,MISSING,0.601,0.883,0,-6.666,1,0.0595,0.253,0.00101,0.0899,0.79,98.663,193760,4
157,1464,Indian Summer,Audience,44nbjnt6SNb8EnU5gGxCP5,MISSING,0.592,0.426,7,-16.483,1,0.033,0.00585,0.000114,0.0919,0.812,146.303,196840,4
158,1484,Something's Wrong With Me,Austin Roberts,5z8k4V3hd3S8vJsxWlUqba,MISSING,0.401,0.272,2,-11.961,1,0.031,0.47,3.87e-06,0.182,0.335,149.293,209880,4
159,1488,Ballad Of Two Brothers,Autry Inman,4DPTB97GjKGuA9zBp1FhuV,MISSING,0.536,0.536,5,-11.223,1,0.134,0.454,0,0.114,0.761,139.517,211240,3
160,1498,When It Hurts,Avant,00zqTWtvCWvDtAqoLRl6Sy,MISSING,0.682,0.646,11,-5.509,1,0.0839,0.376,0,0.0705,0.253,128.279,236213,4
161,1536,I Think You'll Remember Tonight,Axe,23fy5X54mtOCYOb2cZ03wl,MISSING,0.66,0.673,2,-8.557,1,0.0291,0.178,0.00324,0.0925,0.602,111.268,234307,4
162,1552,Beautician Blues,B.B. King,1Fg2V8DnLMwTcBuunrIQxY,MISSING,0.623,0.557,1,-9.153,1,0.0544,0.532,0,0.108,0.875,65.764,120747,4
163,1565,Never Trust A Woman,B.B. King,4IISGbUpoUAXqDdZews1ve,MISSING,0.561,0.469,3,-8.311,1,0.0864,0.458,0,0.124,0.716,134.133,156307,3
164,1567,Philadelphia,B.B. King,6TIYyC6O3KjSGjM9PdcLiM,MISSING,0.714,0.577,5,-15.192,0,0.0377,0.00619,0.123,0.0454,0.961,109.629,359568,4
165,1573,The Jungle,B.B. King,25H3QlzVfVnZvI8x1n2RPZ,MISSING,0.546,0.487,4,-9.212,1,0.0539,0.664,0.135,0.203,0.693,115.483,192533,1
166,1590,Everybody's Out Of Town,B.J. Thomas,22gpkqLhpipC4JCFl5axVh,MISSING,0.783,0.377,7,-7.674,1,0.0318,0.916,0.00113,0.108,0.458,112.941,163000,4
167,1591,Happier Than The Morning Sun,B.J. Thomas,5WvqZJVoNUTlC25JANVZY3,MISSING,0.391,0.59,11,-6.199,1,0.0389,0.703,0,0.115,0.455,107.576,276453,4
168,1594,I Can't Help It (If I'm Still In Love With You),B.J. Thomas,4J99Oq2kTc68mAFvgDZSKB,MISSING,0.462,0.515,5,-6.054,1,0.0262,0.85,0.0385,0.165,0.501,98.551,168827,4
169,1596,It's Only Love,B.J. Thomas,2Yvx4ciYJBWEeVtwy995nY,MISSING,0.465,0.437,7,-7.994,1,0.0249,0.272,0,0.581,0.671,83.953,178680,4
170,1597,Long Ago Tomorrow,B.J. Thomas,3ZRmQ17xtI2oblv09RwsuP,MISSING,0.28,0.283,7,-17.337,0,0.0282,0.723,0.000647,0.304,0.331,96.303,240520,4
171,1599,Mighty Clouds Of Joy,B.J. Thomas,0p5fkbgiANhMX5wrPhtNRk,MISSING,0.407,0.584,9,-4.547,1,0.0345,0.772,7.2e-06,0.287,0.524,120.277,216453,4
172,1602,Pass The Apple Eve,B.J. Thomas,32gpDbiEBX4s3UubJhAxWj,MISSING,0.596,0.644,2,-6.349,1,0.0283,0.547,0,0.438,0.911,129.407,144920,4
173,1605,Still The Lovin' Is Fun,B.J. Thomas,5sYVWszfMGf9kynom6L8fQ,MISSING,0.573,0.225,5,-19.216,1,0.0282,0.61,0,0.197,0.678,107.728,213786,4
174,1606,That's What Friends Are For,B.J. Thomas,2YO0l5tx0pHCsBk92wYpLo,MISSING,0.351,0.489,11,-6.626,1,0.0312,0.819,1.83e-06,0.652,0.323,87.066,235427,4
175,1609,Whatever Happened To Old Fashioned Love,B.J. Thomas,4T0y1dcUFDye5zX2luemfc,MISSING,0.583,0.503,2,-10.766,1,0.0304,0.311,2.04e-06,0.298,0.529,109.347,204973,4
176,1623,I Am The Champion,B.o.B,3RY1CytEMnpCpQg0FZ1Wi2,MISSING,0.639,0.957,1,-4.81,1,0.169,0.162,0,0.188,0.567,72.529,234933,4
177,1641,Badaboom,B2K Featuring Fabolous,0kJOVEXI6rvYKdNOYCt2Xp,MISSING,0.8,0.644,4,-4.898,1,0.148,0.0215,0.00059,0.0924,0.816,96.015,222387,4
178,1647,DDU-DU DDU-DU,BLACKPINK,4lQsB3ERTWSNaAN1IkuNRl,MISSING,0.668,0.828,4,-5.034,0,0.0739,0.036,0,0.0932,0.393,140.042,211350,4
179,1649,Kill This Love,BLACKPINK,6hvczQ05jc1yGlp9zhb95V,MISSING,0.763,0.835,2,-5.234,0,0.191,0.323,0.00221,0.225,0.645,131.875,191050,4
180,1662,Simply Being Loved (Somnambulist),BT,4XTJeA5rZqxiV1T0U4QHZa,MISSING,0.631,0.856,6,-5.317,1,0.0451,0.00552,5.16e-05,0.11,0.518,135.974,261173,4
